key,display,generation,e2_est,e2_lo,e2_hi,e3_est,e3_lo,e3_hi,p1_mode,p1_calendar,p1_model_relative,rec_pre_year,rec_pre_n,rec_post_year,rec_post_n,lap_pre,lap_post,empirical_cutoff,recall_hit_rate,recall_n,delta,delta_t,delta_n,valid_sketch_rate,cells,lap_at_chance,delta_gate,rec_mode
gpt-5.5,GPT-5.5,2026,0.21496212121212127,0.09785353535353541,0.3276515151515152,0.16066919191919193,0.09279513888888877,0.22885101010101006,model_relative,-0.05147058823529416,-0.07291666666666674,0.9958333333333333,240,0.9411764705882353,17,0.9989583333333333,0.1611111111111111,2025-06,0.9958333333333333,240,,,152,1.0,1032,False,lowvar,probe
claude-sonnet-5,Claude Sonnet 5,2026,0.3257575757575758,0.18686868686868685,0.45928030303030304,0.4498106060606061,0.26482796717171714,0.635424558080808,model_relative,-0.007352941176470562,-0.0625,0.9539170506912442,217,0.6875,16,0.9995833333333334,0.5555555555555556,2025-10,0.925,240,,,202,1.0,1032,False,lowvar,probe
kimi-k2.6,Kimi-K2.6,2026,0.33191287878787884,0.24558080808080807,0.4125631313131313,0.38462752525252525,0.26372711489899,0.5088383838383838,model_relative,-0.06985294117647056,-0.0625,,2,,0,0.3295833333333333,0.008333333333333333,2025-02,0.9770114942528736,174,0.25374732764688346,2.986093798476514,215,1.0,2064,False,,nonconvergent
qwen3.6-35b-a3b-fp8,Qwen3.6-35B-A3B,2026,0.23705808080808083,0.11742424242424238,0.35495975378787886,0.3456439393939394,0.23689630681818177,0.4564393939393939,calendar,-0.02941176470588236,,0.25833333333333336,240,0.0,17,0.9818749999999999,0.0,2024-12,0.7754237288135594,236,0.5137088731618776,1.1905941861161098,207,1.0,2064,False,,probe
qwen3.6-27b-fp8,Qwen3.6-27B,2026,0.19270833333333337,0.10842408459595956,0.2845683396464646,0.18134469696969696,0.11410984848484845,0.25110479797979796,calendar,-0.05514705882352944,,0.09166666666666666,240,0.0,17,0.9185416666666666,0.0,2024-11,0.723404255319149,235,0.2705026174484366,1.2344747678689763,190,0.9995760658914729,2064,False,,probe
gpt-5.4-mini,GPT-5.4-mini,2026,0.14425505050505055,0.06565261994949494,0.22380050505050503,0.18731327358087924,0.07879854886897142,0.2932185696248196,model_relative,0.0036764705882353366,0.013888888888888895,0.4875,240,0.17647058823529413,17,0.9995833333333334,0.4138888888888889,2025-09,0.7383966244725738,237,,,198,0.998062015503876,2064,False,lowvar,probe
claude-haiku-4-5,Claude Haiku 4.5,2025,0.38273358585858586,0.30428898358585865,0.4655934343434343,0.4954229797979799,0.3420138888888889,0.6433199179292928,calendar,-0.007352941176470562,,0.2,240,0.0,17,0.8383333333333333,0.0,2024-10,0.6890756302521008,238,0.16224367155937192,1.3538377260699892,205,1.0,2064,False,,probe
deepseek-v4-flash,DeepSeek v4-flash,2025,0.41571969696969696,0.2993963068181818,0.5353614267676767,0.30902777777777773,0.13951625631313133,0.4752209595959596,model_relative,0.05514705882352944,0.03977272727272729,0.95,240,0.6470588235294118,17,0.8152083333333332,0.10277777777777777,2025-07,0.8940677966101694,236,0.01909621726995625,0.13054037154717824,213,1.0,2064,False,,probe
gemini-2.5-flash,Gemini 2.5 Flash,2025,0.2555765993265993,0.14457070707070707,0.3676373106060606,0.31050084175084175,0.19602272727272724,0.42571811868686865,calendar,-0.02450980392156865,,0.8041666666666667,240,0.058823529411764705,17,0.3366666666666667,0.0,2024-06,0.943127962085308,211,-0.26608987050878535,-2.030725057343012,216,1.0,3096,False,,probe
gemini-2.5-pro,Gemini 2.5 Pro,2025,0.1667718855218855,0.09869528619528622,0.23579808501683502,0.24210858585858586,0.13131313131313138,0.3557449494949495,absent,nan,,0.9625,240,0.3333333333333333,15,0.9220833333333333,0.0,2024-05,0.9786324786324786,234,0.2354717892956446,0.29014433515776833,197,0.9999348958333333,1920,False,,probe
qwen3-30b-a3b-fp8dyn,Qwen3-30B-A3B,2025,0.06281565656565657,-0.09690656565656564,0.23579545454545453,0.01641414141414138,-0.14079071969696974,0.17518939393939392,calendar,0.06617647058823534,,0.175,240,0.0,17,0.8066666666666666,0.0,2024-04,0.6741071428571429,224,-0.13266885951382001,-1.1070184217627594,163,1.0,1032,False,,probe
llama-3.1-70b-awq,Llama 3.1 70B,2024,-0.046559343434343425,-0.12042297979797978,0.030149147727272695,0.00836489898989895,-0.09706833964646468,0.10827414772727266,calendar,0.003676470588235281,,0.18333333333333332,240,0.0,17,0.8535416666666666,0.0,2023-12,0.6756756756756757,222,0.0066451377552075724,0.13179786670984872,239,1.0,2064,False,,probe
llama-3.1-8b,Llama 3.1 8B,2024,0.056344696969696906,-0.09659090909090906,0.20280934343434343,0.07591540404040403,-0.023516414141414088,0.17803819444444438,calendar,0.0514705882352941,,0.05,240,0.0,17,0.9543750000000001,0.14444444444444446,2026-05,0.5,230,-0.35921474642870826,-3.0650558789465867,207,0.9998788759689923,2064,True,,probe
llama3.2:3b,Llama 3.2 3B,2024,0.25197368421052635,-0.04922002655228758,0.5067534484886458,-0.5204545454545455,-0.7020982142857143,-0.299139014580191,calendar,-0.03267045454545453,,0.04583333333333333,240,0.0,17,0.9212500000000001,0.5444444444444445,2026-06,0.4797979797979798,198,,,16,0.5192307692307693,260,True,,probe
llama3.2:1b,Llama 3.2 1B,2024,-0.0955887514711044,-0.2389369402804926,0.0480772036390738,-0.16226959822585343,-0.3470764140984811,-0.011149594010549005,calendar,0.05518207282913168,,,0,,1,0.5220833333333333,0.45000000000000007,2026-06,0.4337899543378995,219,,,21,0.7899038461538461,260,True,,probe
